Enter the number of rows: Enter the number of columns: Enter the value of theta_dep: Enter the theta_max: Enter the value of Z: Enter the value of tau: Enter the value of saving freq:          29829280 function calls (29824579 primitive calls) in 14.055 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1180000    5.968    0.000    6.943    0.000 /home/saurav/Desktop/CellularAutomata/project/helper.py:5(isMobile)
  2478000    1.983    0.000    3.980    0.000 /usr/lib/python3.11/random.py:284(randrange)
  2844362    1.409    0.000    1.868    0.000 /usr/lib/python3.11/random.py:235(_randbelow_with_getrandbits)
        1    1.301    1.301   14.055   14.055 /home/saurav/Desktop/CellularAutomata/scripts/main.py:11(start)
  1239000    0.783    0.000    5.535    0.000 /home/saurav/Desktop/CellularAutomata/project/helper.py:48(get_random_coordinate)
  2478000    0.771    0.000    4.752    0.000 /usr/lib/python3.11/random.py:358(randint)
  7434000    0.422    0.000    0.422    0.000 {built-in method _operator.index}
3767861/3767853    0.319    0.000    0.319    0.000 {built-in method builtins.len}
  3835833    0.284    0.000    0.284    0.000 {method 'getrandbits' of '_random.Random' objects}
   366362    0.259    0.000    0.604    0.000 /usr/lib/python3.11/random.py:367(choice)
  2844364    0.176    0.000    0.176    0.000 {method 'bit_length' of 'int' objects}
  1099397    0.104    0.000    0.104    0.000 {method 'append' of 'list' objects}
       59    0.085    0.001    0.374    0.006 /home/saurav/Desktop/CellularAutomata/project/deposition.py:5(particle_deposition)
    59000    0.019    0.000    0.030    0.000 /home/saurav/Desktop/CellularAutomata/project/classes/Surface.py:71(set_max_height)
        1    0.013    0.013    0.013    0.013 {method 'encode' of 'ImagingEncoder' objects}
    59401    0.011    0.000    0.011    0.000 {built-in method builtins.max}
      992    0.005    0.000    0.005    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       59    0.004    0.000    0.009    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/core/_methods.py:135(_var)
  2625/45    0.003    0.000    0.007    0.000 /usr/lib/python3.11/copy.py:128(deepcopy)
       19    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
       90    0.003    0.000    0.017    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/text.py:358(_get_layout)
