Enter the number of rows: Enter the number of columns: Enter the value of theta_dep: Enter the theta_max: Enter the value of Z: Enter the value of tau: Enter the value of saving freq:          41712102 function calls (41708736 primitive calls) in 18.166 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1284000    6.558    0.000    7.937    0.000 /home/saurav/Desktop/CellularAutomata/project/helper.py:5(isMobile)
  3424000    2.717    0.000    5.542    0.000 /usr/lib/python3.11/random.py:284(randrange)
  3889211    1.905    0.000    2.591    0.000 /usr/lib/python3.11/random.py:235(_randbelow_with_getrandbits)
        1    1.503    1.503   18.166   18.166 /home/saurav/Desktop/CellularAutomata/scripts/main.py:11(start)
  1712000    1.100    0.000    7.707    0.000 /home/saurav/Desktop/CellularAutomata/project/helper.py:49(get_random_coordinate)
  3424000    1.065    0.000    6.607    0.000 /usr/lib/python3.11/random.py:358(randint)
 10272000    0.615    0.000    0.615    0.000 {built-in method _operator.index}
      428    0.592    0.001    2.678    0.006 /home/saurav/Desktop/CellularAutomata/project/deposition.py:5(particle_deposition)
  5215411    0.415    0.000    0.415    0.000 {method 'getrandbits' of '_random.Random' objects}
4200736/4200728    0.365    0.000    0.365    0.000 {built-in method builtins.len}
   465211    0.320    0.000    0.771    0.000 /usr/lib/python3.11/random.py:367(choice)
  3889213    0.270    0.000    0.270    0.000 {method 'bit_length' of 'int' objects}
  1284000    0.160    0.000    0.160    0.000 /home/saurav/Desktop/CellularAutomata/project/classes/Surface.py:91(get_grid)
  1669304    0.152    0.000    0.152    0.000 {method 'append' of 'list' objects}
   428000    0.125    0.000    0.214    0.000 /home/saurav/Desktop/CellularAutomata/project/classes/Surface.py:71(set_max_height)
   428311    0.090    0.000    0.090    0.000 {built-in method builtins.max}
      428    0.023    0.000    0.049    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/core/_methods.py:135(_var)
       21    0.017    0.001    0.017    0.001 {method 'read' of '_io.BufferedReader' objects}
     1548    0.016    0.000    0.016    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.013    0.013    0.013    0.013 {method 'encode' of 'ImagingEncoder' objects}
      428    0.004    0.000    0.005    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/core/_methods.py:67(_count_reduce_items)
       19    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
        3    0.003    0.001    0.003    0.001 {built-in method _imp.create_dynamic}
        1    0.003    0.003    0.003    0.003 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/font_manager.py:1493(_get_font)
      428    0.002    0.000    0.054    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3513(std)
       31    0.002    0.000    0.002    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
       14    0.002    0.000    0.002    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
  1750/30    0.002    0.000    0.005    0.000 /usr/lib/python3.11/copy.py:128(deepcopy)
       60    0.002    0.000    0.015    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/text.py:358(_get_layout)
        1    0.002    0.002    0.002    0.002 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/linalg/linalg.py:492(inv)
      428    0.002    0.000    0.051    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/core/_methods.py:204(_std)
      291    0.002    0.000    0.008    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/artist.py:1176(_update_props)
     4232    0.002    0.000    0.003    0.000 {built-in method builtins.getattr}
      805    0.002    0.000    0.002    0.000 /usr/lib/python3.11/contextlib.py:104(__init__)
     6419    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
     2745    0.002    0.000    0.003    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/__init__.py:741(__getitem__)
        1    0.001    0.001    0.001    0.001 {built-in method matplotlib._c_internal_utils.display_is_valid}
  805/784    0.001    0.000    0.004    0.000 /usr/lib/python3.11/contextlib.py:141(__exit__)
      241    0.001    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/cbook.py:1743(normalize_kwargs)
   110/97    0.001    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:2431(get_affine)
      684    0.001    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/cbook.py:2011(_setattr_cm)
